ddinter_id,ddinter_name,hetionet_compound_id,hetionet_name,mapping_method,mapping_status
DDInter537,Diclofenac,Compound::DB00586,Diclofenac,normalized case-insensitive exact generic name,exact_name
DDInter538,Diclofenac (ophthalmic),,,none,unmapped
DDInter539,Diclofenac (topical),,,none,unmapped
DDInter54,Alprazolam,,,none,unmapped
DDInter540,Diclofenamide,Compound::DB01144,Diclofenamide,normalized case-insensitive exact generic name,exact_name
DDInter541,Dicloxacillin,,,none,unmapped
DDInter542,Dicoumarol,,,none,unmapped
DDInter543,Dicyclomine,,,none,unmapped
DDInter544,Didanosine,,,none,unmapped
DDInter545,Dienestrol (topical),,,none,unmapped
DDInter546,Dienogest,,,none,unmapped
DDInter547,Diethylpropion,,,none,unmapped
DDInter548,Diethylstilbestrol,,,none,unmapped
DDInter549,Difenoxin,,,none,unmapped
DDInter55,Alprostadil,,,none,unmapped
DDInter550,Diflorasone (topical),,,none,unmapped
DDInter551,Diflunisal,,,none,unmapped
DDInter552,Difluprednate (ophthalmic),,,none,unmapped
DDInter553,Digitoxin,,,none,unmapped
DDInter554,Digoxin,,,none,unmapped
DDInter555,Digoxin Immune Fab (Ovine),,,none,unmapped
DDInter556,Dihydrocodeine,,,none,unmapped
DDInter557,Dihydroergotamine,Compound::DB00320,Dihydroergotamine,normalized case-insensitive exact generic name,exact_name
DDInter558,Dihydrotachysterol,,,none,unmapped
DDInter559,Diiodohydroxyquinoline,,,none,unmapped
DDInter56,Alteplase,,,none,unmapped
DDInter561,Diltiazem,Compound::DB00343,Diltiazem,normalized case-insensitive exact generic name,exact_name
DDInter562,Dimenhydrinate,,,none,unmapped
DDInter563,Dimercaprol,,,none,unmapped
DDInter564,Dimethyl fumarate,,,none,unmapped
DDInter567,Dinoprostone (topical),,,none,unmapped
DDInter568,Dinutuximab,,,none,unmapped
DDInter569,Diphenhydramine,Compound::DB01075,Diphenhydramine,normalized case-insensitive exact generic name,exact_name
DDInter57,Altretamine,,,none,unmapped
DDInter570,Diphenhydramine (topical),,,none,unmapped
DDInter571,Diphenoxylate,,,none,unmapped
DDInter572,Dipivefrin (ophthalmic),,,none,unmapped
DDInter573,Dipyridamole,,,none,unmapped
DDInter574,Diroximel fumarate,,,none,unmapped
DDInter575,Disopyramide,,,none,unmapped
DDInter576,Disulfiram,,,none,unmapped
